Cell,HTAN_Biospecimen_ID,subtype
RU1181C_192248705637147,HTA8_2010_1,SCLC-N
RU1065C_170182237408163,HTA8_2002_1,SCLC-A
PleuralEffusion_236175632812453,HTA8_2001_1,SCLC-A
RU1322A_LN_130204843855141,HTA8_2017_1,SCLC-P
RU1124A_LN_232236086676190,HTA8_2006_1,SCLC-A
RU1108a_Bambanker_Frozen_125197064517932,HTA8_2005_2,SCLC-A
RU1065C_122369587690860,HTA8_2002_1,SCLC-A
PleuralEffusion_191096730073333,HTA8_2001_1,SCLC-A
RU1066_129457519486771,HTA8_2003_1,SCLC-A
RU1144_LN_236169980693726,HTA8_2007_2,SCLC-A
RU1195A_122352288876782,HTA8_2011_1,SCLC-A
RU1066_192859679866268,HTA8_2003_1,SCLC-A
RU1080C_192101737720038,HTA8_2004_1,SCLC-A
PleuralEffusion_200561527512414,HTA8_2001_1,SCLC-A
RU1124A_LN_135005248014645,HTA8_2006_1,SCLC-A
RU1144_T_226958767175606,HTA8_2007_1,SCLC-A
PleuralEffusion_170265211714332,HTA8_2001_1,SCLC-A
RU1144_LN_131175237666661,HTA8_2007_2,SCLC-A
RU1144_LN_161893265594205,HTA8_2007_2,SCLC-A
PleuralEffusion_227510401812827,HTA8_2001_1,SCLC-A
RU1195A_240617715055523,HTA8_2011_1,SCLC-A
RU1144_T_232311370664691,HTA8_2007_1,SCLC-A
PleuralEffusion_134540466482484,HTA8_2001_1,SCLC-A
RU1311A_T_1_192667748317491,HTA8_2016_1,SCLC-A
RU1293A_191697085643572,HTA8_2015_1,SCLC-N
RU779D_130213137796526,HTA8_2019_1,SCLC-N
RU779D_160911865887643,HTA8_2019_1,SCLC-N
RU779D_121414897749348,HTA8_2019_1,SCLC-N
RU1066_122310444600694,HTA8_2003_1,SCLC-A
RU1145_121955392048493,HTA8_2008_1,SCLC-A
RU1311A_T_1_134602594674397,HTA8_2016_1,SCLC-A
RU426B_170755662235510,HTA8_2018_1,SCLC-A
PleuralEffusion_166402827708845,HTA8_2001_1,SCLC-A
RU1144_T_231291346700214,HTA8_2007_1,SCLC-A
RU1195A_134447990000884,HTA8_2011_1,SCLC-A
PleuralEffusion_191215646959972,HTA8_2001_1,SCLC-A
RU1065C_227509475698523,HTA8_2002_1,SCLC-A
RU1080C_200493044194150,HTA8_2004_1,SCLC-A
RU1152_235600092543404,HTA8_2009_1,SCLC-A
RU779D_161452716878054,HTA8_2019_1,SCLC-N
RU1145_240482308484515,HTA8_2008_1,SCLC-A
RU1293A_231151760698278,HTA8_2015_1,SCLC-N
RU1144_LN_126227588234654,HTA8_2007_2,SCLC-A
RU1124A_LN_165258057968422,HTA8_2006_1,SCLC-A
RU1152_125127942334364,HTA8_2009_1,SCLC-A
RU779D_121802833148149,HTA8_2019_1,SCLC-N
RU1065C_235060820855541,HTA8_2002_1,SCLC-A
RU1145_196527747165612,HTA8_2008_1,SCLC-A
PleuralEffusion_227846629997811,HTA8_2001_1,SCLC-A
